terminals,services,chefs,terminal_order_proba,order_size,big_tasty_popularity,wait_time
2,2,2,0.25,2,20,284
2,2,2,0.25,2,80,249
2,2,2,0.25,8,20,16162
2,2,2,0.25,8,80,18363
2,2,2,1.0,2,20,255
2,2,2,1.0,2,80,316
2,2,2,1.0,8,20,17257
2,2,2,1.0,8,80,20185
2,2,8,0.25,2,20,135
2,2,8,0.25,2,80,125
2,2,8,0.25,8,20,10479
2,2,8,0.25,8,80,11067
2,2,8,1.0,2,20,186
2,2,8,1.0,2,80,196
2,2,8,1.0,8,20,4766
2,2,8,1.0,8,80,6204
2,8,2,0.25,2,20,170
2,8,2,0.25,2,80,177
2,8,2,0.25,8,20,18873
2,8,2,0.25,8,80,20134
2,8,2,1.0,2,20,229
2,8,2,1.0,2,80,249
2,8,2,1.0,8,20,19954
2,8,2,1.0,8,80,20950
2,8,8,0.25,2,20,89
2,8,8,0.25,2,80,90
2,8,8,0.25,8,20,267
2,8,8,0.25,8,80,270
2,8,8,1.0,2,20,129
2,8,8,1.0,2,80,168
2,8,8,1.0,8,20,836
2,8,8,1.0,8,80,716
8,2,2,0.25,2,20,200
8,2,2,0.25,2,80,220
8,2,2,0.25,8,20,20634
8,2,2,0.25,8,80,20751
8,2,2,1.0,2,20,177
8,2,2,1.0,2,80,189
8,2,2,1.0,8,20,19161
8,2,2,1.0,8,80,19146
8,2,8,0.25,2,20,139
8,2,8,0.25,2,80,130
8,2,8,0.25,8,20,13411
8,2,8,0.25,8,80,12565
8,2,8,1.0,2,20,111
8,2,8,1.0,2,80,102
8,2,8,1.0,8,20,3403
8,2,8,1.0,8,80,4101
8,8,2,0.25,2,20,185
8,8,2,0.25,2,80,160
8,8,2,0.25,8,20,19996
8,8,2,0.25,8,80,18511
8,8,2,1.0,2,20,171
8,8,2,1.0,2,80,164
8,8,2,1.0,8,20,19521
8,8,2,1.0,8,80,19708
8,8,8,0.25,2,20,85
8,8,8,0.25,2,80,82
8,8,8,0.25,8,20,269
8,8,8,0.25,8,80,302
8,8,8,1.0,2,20,87
8,8,8,1.0,2,80,84
8,8,8,1.0,8,20,282
8,8,8,1.0,8,80,286
